3923,61919
3194,61919
3194,60554
3675,60554
3675,59474
2942,59474
2942,58214
3088,58214
3088,57150
2042,57150
2042,55879
2316,55879
2316,54706
1807,54706
1807,53447
2203,53447
2203,52232
2206,52232
2206,51032
1605,51032
1605,50179
94768,50179
94768,48588
1883,48588
1883,47399
2484,47399
2484,46162
2141,46162
2141,44991
2634,44991
2634,43719
2213,43719
2213,42544
2602,42544
2602,41302
2568,41302
2568,40219
3352,40219
3352,38855
2831,38855
2831,37871
3915,37871
3915,36668
4103,36668
4103,35421
4176,35421
4176,34389
4920,34389
4920,32992
4637,32992
4637,32018
5501,32018
5501,31051
6327,31051
6327,29991
6908,29991
6908,28766
7147,28766
7147,27503
7349,27503
7349,26770
8540,26770
8540,25571
8879,25571
8879,24466
9397,24466
9397,23172
9646,23172
9646,22147
10322,22147
10322,21212
11124,21212
11124,20416
12095,20416
12095,19808
13273,19808
13273,18827
13980,18827
13980,17941
14800,17941
14800,17112
15678,17112
15678,15995
16266,15995
16266,14744
16754,14744
16754,14559
18236,14559
18236,13457
18882,13457
18882,12473
19650,12473
19650,12285
21047,12285
21047,11216
21759,11216
21759,10724
22896,10724
22896,9656
23642,9656
23642,8817
24558,8817
24558,8283
25667,8283
25667,7673
26727,7673
26727,7670
28104,7670
28104,7116
29177,7116
29177,5920
29959,5920
29959,5795
31239,5795
31239,5601
32470,5601
32470,4729
33439,4729
33439,4688
34714,4688
34714,4325
35869,4325
35869,3410
36870,3410
36870,3699
38209,3699
38209,3271
39353,3271
39353,2503
40437,2503
40437,2545
41690,2545
41690,2153
42865,2153
42865,2431
44134,2431
44134,2128
45325,2128
45325,1863
46527,1863
46527,1715
47744,1715
47744,2370
48983,2370
48983,2208
50191,2208
50191,1596
51420,1596
51420,1777
52638,1777
52638,2426
53814,2426
53814,2323
55040,2323
55040,1948
56315,1948
56315,3050
57384,3050
57384,2961
58625,2961
58625,3074
59839,3074
59839,3595
60964,3595
60964,3677
62191,3677
62191,3720
63442,3720
63442,4125
64595,4125
64595,4172
65869,4172
65869,5434
66708,5434
66708,5266
68076,5266
68076,5977
69100,5977
69100,6618
70143,6618
70143,6746
71431,6746
71431,7832
72241,7832
72241,8034
73512,8034
73512,9162
74260,9162
74260,9514
75460,9514
75460,9627
76840,9627
76840,10908
77440,10908
77440,11672
78380,11672
78380,11972
79679,11972
79679,13184
80265,13184
80265,13479
81606,13479
81606,14622
82220,14622
82220,15218
83328,15218
83328,15880
84393,15880
84393,16884
85117,16884
85117,17746
85987,17746
85987,18854
86575,18854
86575,19853
87275,19853
87275,20481
88452,20481
88452,21548
89071,21548
89071,22598
89707,22598
89707,23486
90581,23486
90581,24670
91002,24670
91002,25846
91409,25846
91409,26790
92213,26790
92213,27909
92705,27909
92705,29085
93072,29085
93072,30099
93771,30099
93771,31076
94587,31076
94587,32364
94666,32364
94666,33666
94648,33666
94648,34775
95128,34775
95128,35721
96154,35721
96154,36872
96583,36872
96583,38043
96950,38043
96950,39313
96900,39313
96900,40470
97329,40470
97329,41656
97648,41656
97648,42909
97551,42909
97551,44185
97161,44185
97161,45335
97772,45335
97772,46568
97572,46568
97572,47781
97508,47781
97508,48975
97989,48975
97989,50192
